Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"06037402301","Census Tract 4023.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4023.01",,,,5169,10055.04,0.514070721563189
"06037402303","Census Tract 4023.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4023.03",,,,3964,10872.51,0.364589334004636
"06037402304","Census Tract 4023.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4023.04",,,,4098,15219.89,0.269252984955915
"06037402403","Census Tract 4024.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4024.03",,,,5385,6862.453,0.784704793999046
"06037402404","Census Tract 4024.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4024.04",,,,2088,1321.934,1.57950345715887
"06037402405","Census Tract 4024.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4024.05",,,,2204,5630.748,0.39142227685997
"06037402406","Census Tract 4024.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4024.06",,,,4736,10505.68,0.450803633067026
"06037402501","Census Tract 4025.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4025.01",,,,4868,12410.49,0.392248921616625
"06037402503","Census Tract 4025.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4025.03",,,,4333,12836.14,0.337562567857457
"06037402504","Census Tract 4025.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4025.04",,,,2509,10823.85,0.231803004492685
"06037402601","Census Tract 4026.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4026.01",,,,2892,7238.659,0.399521542184751
"06037402602","Census Tract 4026.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4026.02",,,,4824,10017.4,0.481562076735491
"06037402702","Census Tract 4027.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4027.02",,,,5018,8673.075,0.578572178712797
"06037402703","Census Tract 4027.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4027.03",,,,5448,13175.36,0.413499213123767
"06037402705","Census Tract 4027.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4027.05",,,,3530,10563.35,0.334174135169738
"06037402706","Census Tract 4027.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4027.06",,,,3629,8851.704,0.409977575185677
"06037402801","Census Tract 4028.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4028.01",,,,4815,6868.062,0.701071201874294
"06037402803","Census Tract 4028.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4028.03",,,,3567,14657.7,0.243353251057534
"06037402804","Census Tract 4028.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4028.04",,,,4442,8727.491,0.508966450809811
